               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11292,             0.02641,            0.025655,             0.10608,            0.045455,              0.0246,           0.0058579,            0.095696,            0.025406,             0.01935,            0.070238,           0.0033069,           0.0033069
                   1,            0.088108,            0.032171,            0.016069,             0.69755,             0.19091,             0.23168,            0.078336,            0.082671,            0.019437,            0.016165,            0.039581,           0.0059828,           0.0059828
                   2,            0.076441,            0.026107,            0.015536,             0.68199,             0.26932,             0.22241,              0.0759,            0.074885,            0.018222,            0.015162,           0.0082633,           0.0079988,           0.0079988
                   3,            0.070023,            0.025627,            0.014679,             0.22611,             0.56184,             0.27967,             0.11377,             0.06272,            0.016751,            0.014428,             0.00703,             0.00703,             0.00703
                   4,            0.064347,            0.023582,            0.012725,              0.3429,             0.59243,             0.46105,              0.1958,            0.056496,            0.016255,            0.013046,             0.00703,             0.00703,             0.00703
                   5,            0.058014,            0.022595,            0.013323,             0.56422,             0.63977,             0.58371,             0.24756,            0.049173,             0.01599,             0.01179,             0.00604,             0.00604,             0.00604
                   6,            0.052971,            0.022762,            0.010984,             0.67687,             0.69907,             0.72898,             0.32945,            0.044442,            0.015407,            0.010087,             0.00505,             0.00505,             0.00505
                   7,             0.05032,             0.02187,            0.010274,             0.66726,             0.67732,             0.69786,             0.34559,            0.044667,            0.014715,           0.0084843,             0.00406,             0.00406,             0.00406
                   8,             0.04817,            0.022028,           0.0096978,             0.78912,              0.7594,             0.82299,             0.40803,            0.040855,            0.014304,            0.007251,             0.00307,             0.00307,             0.00307
                   9,            0.045517,            0.021656,           0.0072941,             0.79785,             0.76377,              0.8434,             0.44726,            0.039464,            0.013933,           0.0062879,             0.00208,             0.00208,             0.00208
