               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11292,             0.02641,            0.025655,             0.10608,            0.045455,              0.0246,           0.0058579,            0.095696,            0.025406,             0.01935,            0.070238,           0.0033069,           0.0033069
                   1,            0.088153,            0.031949,            0.016021,             0.67948,             0.17614,             0.21822,             0.07623,            0.077491,            0.020113,            0.016408,            0.040019,           0.0064211,           0.0064211
                   2,            0.077833,            0.025778,            0.015469,             0.63255,             0.23409,              0.1434,            0.033898,            0.074564,            0.017677,            0.014894,           0.0095798,           0.0093153,           0.0093153
                   3,            0.071736,            0.025096,            0.014579,             0.21868,             0.52738,             0.31635,             0.11653,            0.065731,             0.01663,            0.013997,             0.00901,             0.00901,             0.00901
                   4,            0.065372,            0.023022,             0.01219,             0.41141,             0.55806,             0.44738,             0.19038,            0.059296,            0.015941,            0.012022,             0.00901,             0.00901,             0.00901
                   5,            0.059653,            0.021765,            0.012265,             0.62399,              0.5093,             0.59733,             0.29885,            0.055302,            0.015449,            0.010126,             0.00868,             0.00868,             0.00868
                   6,            0.058208,            0.021935,            0.009465,             0.84159,             0.69866,             0.82492,             0.37884,            0.046449,            0.015143,           0.0079527,             0.00835,             0.00835,             0.00835
                   7,            0.055605,            0.021121,           0.0083742,             0.68242,             0.67953,             0.68498,             0.29723,            0.048898,            0.014341,           0.0060523,             0.00802,             0.00802,             0.00802
                   8,            0.053468,            0.021367,           0.0078199,             0.63459,             0.75158,             0.69878,             0.30526,            0.045308,            0.014183,           0.0053017,             0.00769,             0.00769,             0.00769
                   9,            0.050666,            0.021185,           0.0062497,             0.77178,             0.73839,             0.77361,              0.3326,            0.048056,            0.013769,           0.0044958,             0.00736,             0.00736,             0.00736
                  10,            0.048711,            0.020094,           0.0052991,             0.79663,             0.81132,             0.85846,             0.45731,            0.040616,            0.013627,           0.0042455,             0.00703,             0.00703,             0.00703
                  11,            0.046025,            0.020359,           0.0049709,             0.82215,              0.8001,             0.86127,             0.43585,            0.042242,             0.01339,           0.0040578,              0.0067,              0.0067,              0.0067
                  12,              0.0444,            0.018361,           0.0045214,             0.88697,             0.79002,             0.88547,             0.46998,            0.038776,            0.013447,           0.0037039,             0.00637,             0.00637,             0.00637
                  13,            0.044366,            0.020328,           0.0047369,             0.89373,             0.78707,             0.88371,             0.46641,            0.039686,            0.013122,           0.0032077,             0.00604,             0.00604,             0.00604
                  14,            0.043285,            0.019549,            0.003845,             0.89301,             0.80952,             0.90973,             0.50325,            0.036296,            0.013057,           0.0031774,             0.00571,             0.00571,             0.00571
                  15,            0.042708,            0.018816,           0.0044943,             0.86004,             0.79587,             0.87374,             0.47182,            0.037616,            0.012675,           0.0033523,             0.00538,             0.00538,             0.00538
                  16,            0.041223,            0.018762,           0.0040276,             0.86068,             0.82955,             0.89029,             0.49046,            0.035292,            0.012747,           0.0033859,             0.00505,             0.00505,             0.00505
                  17,            0.040516,            0.018301,           0.0036755,              0.9221,             0.81863,             0.91406,             0.51914,            0.034782,            0.012396,           0.0024825,             0.00472,             0.00472,             0.00472
                  18,            0.039065,            0.018856,           0.0034866,              0.9304,             0.83171,              0.9177,             0.51979,             0.03357,            0.012289,           0.0025808,             0.00439,             0.00439,             0.00439
                  19,            0.038974,            0.018346,           0.0031274,              0.9275,             0.82754,             0.91615,             0.51604,            0.035078,            0.012163,           0.0025097,             0.00406,             0.00406,             0.00406
                  20,            0.037607,            0.017871,           0.0032583,              0.8943,             0.84651,             0.92294,             0.52512,            0.033165,             0.01212,           0.0024263,             0.00373,             0.00373,             0.00373
                  21,            0.036958,            0.018599,           0.0033874,             0.90347,             0.85785,             0.92918,             0.53962,             0.03299,            0.012067,           0.0020651,              0.0034,              0.0034,              0.0034
                  22,            0.037013,            0.017971,           0.0032283,              0.9252,             0.85855,             0.93278,             0.54772,            0.032283,            0.011962,           0.0021887,             0.00307,             0.00307,             0.00307
                  23,            0.035135,            0.017492,           0.0029894,             0.90463,             0.85729,             0.92671,             0.53031,            0.031755,            0.011972,           0.0022577,             0.00274,             0.00274,             0.00274
                  24,             0.03495,            0.017341,           0.0026114,             0.89816,             0.86554,             0.92042,             0.54867,            0.031285,             0.01183,           0.0022344,             0.00241,             0.00241,             0.00241
                  25,            0.034406,            0.017027,           0.0029752,             0.94646,             0.82387,             0.92409,             0.56511,            0.030615,            0.011717,           0.0019868,             0.00208,             0.00208,             0.00208
                  26,            0.035377,            0.017392,           0.0022753,              0.9451,             0.82043,              0.9238,              0.5601,            0.030809,            0.011702,           0.0018875,             0.00175,             0.00175,             0.00175
                  27,            0.033749,            0.017761,           0.0031308,             0.91457,             0.84876,             0.92701,             0.55364,            0.030447,            0.011663,           0.0019292,             0.00142,             0.00142,             0.00142
                  28,            0.034464,            0.017622,           0.0030633,             0.88425,             0.87145,             0.92228,             0.55716,            0.030383,            0.011617,           0.0020778,             0.00109,             0.00109,             0.00109
                  29,            0.032596,            0.016358,           0.0028488,             0.91186,             0.84535,             0.92396,             0.56469,            0.029674,             0.01164,           0.0021934,             0.00076,             0.00076,             0.00076
