               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10402,            0.012691,             0.02062,             0.00191,             0.15413,           0.0016598,          0.00042379,             0.10359,            0.010355,            0.015964,             0.07012,           0.0033201,           0.0033201
                   1,            0.085559,            0.016102,            0.014346,             0.68642,             0.19186,             0.17653,            0.051166,            0.079375,           0.0096917,            0.011859,            0.039833,            0.006367,            0.006367
                   2,            0.073135,            0.014019,            0.012493,             0.26433,             0.42862,             0.24737,            0.083859,            0.072755,           0.0083279,             0.01002,           0.0092598,            0.009127,            0.009127
                   3,            0.066737,            0.013684,            0.010537,             0.41727,             0.46041,             0.36687,             0.14499,            0.067377,            0.007886,           0.0080084,           0.0087087,           0.0087087,           0.0087087
                   4,            0.061653,            0.013925,           0.0091316,             0.65511,             0.57599,             0.59227,             0.26087,            0.052114,           0.0078304,           0.0058295,           0.0087087,           0.0087087,           0.0087087
                   5,            0.056825,            0.013649,           0.0074593,             0.59979,             0.61193,             0.53147,             0.20313,            0.055625,           0.0074583,           0.0049114,           0.0082783,           0.0082783,           0.0082783
                   6,             0.05449,             0.01255,           0.0068506,              0.6802,             0.62391,             0.64444,             0.30096,            0.048857,           0.0072237,           0.0041791,           0.0078478,           0.0078478,           0.0078478
                   7,            0.052631,            0.012503,           0.0061862,             0.73717,             0.64378,             0.68794,             0.31366,            0.044913,           0.0071338,            0.003977,           0.0074174,           0.0074174,           0.0074174
                   8,            0.049469,            0.012541,           0.0057076,             0.70992,             0.65806,             0.68992,             0.34691,             0.04525,           0.0068124,           0.0035288,            0.006987,            0.006987,            0.006987
                   9,            0.049599,            0.012794,           0.0061342,             0.75019,             0.64515,             0.69114,             0.33225,            0.044409,           0.0067212,           0.0032441,           0.0065565,           0.0065565,           0.0065565
                  10,            0.048763,            0.012715,           0.0062468,             0.83871,              0.6845,             0.74877,             0.38622,            0.043615,           0.0066703,           0.0037123,           0.0061261,           0.0061261,           0.0061261
                  11,            0.045915,            0.012333,             0.00555,             0.79374,              0.6915,             0.73619,             0.37849,            0.044556,           0.0065912,           0.0032803,           0.0056957,           0.0056957,           0.0056957
                  12,            0.045505,            0.012364,           0.0055288,             0.76925,             0.69928,             0.72347,             0.39023,            0.042035,           0.0065621,           0.0037391,           0.0052652,           0.0052652,           0.0052652
                  13,            0.045566,            0.012136,           0.0044746,             0.83907,             0.71073,             0.76721,              0.4058,            0.040165,           0.0065286,           0.0032768,           0.0048348,           0.0048348,           0.0048348
                  14,            0.044027,            0.012056,           0.0050508,             0.80557,             0.70583,             0.75497,             0.38938,             0.03929,           0.0064195,           0.0031654,           0.0044043,           0.0044043,           0.0044043
                  15,            0.042815,             0.01158,           0.0040924,             0.83426,             0.68171,             0.75092,             0.39935,            0.039489,           0.0063975,           0.0031254,           0.0039739,           0.0039739,           0.0039739
                  16,            0.042276,            0.011896,            0.004429,             0.83512,             0.74759,             0.78245,             0.42424,            0.037985,           0.0062367,           0.0023817,           0.0035435,           0.0035435,           0.0035435
                  17,            0.041199,            0.011801,           0.0041285,             0.85362,             0.71947,             0.77751,             0.42566,            0.037908,           0.0061802,           0.0024449,            0.003113,            0.003113,            0.003113
                  18,            0.041138,            0.011662,           0.0039381,             0.82822,             0.73493,             0.76777,             0.42952,             0.03683,           0.0062026,           0.0026177,           0.0026826,           0.0026826,           0.0026826
                  19,            0.040008,            0.011392,           0.0039125,             0.81311,             0.73187,             0.77397,             0.44064,            0.035949,           0.0061438,           0.0022229,           0.0022522,           0.0022522,           0.0022522
                  20,            0.040244,            0.011715,           0.0037851,             0.82556,             0.72183,             0.77419,              0.4508,            0.036468,           0.0060497,           0.0022113,           0.0018217,           0.0018217,           0.0018217
                  21,            0.039684,            0.011658,           0.0036107,             0.84712,             0.71559,             0.77685,             0.45465,            0.035413,           0.0060246,            0.002213,           0.0013913,           0.0013913,           0.0013913
                  22,            0.038528,            0.011431,           0.0036493,             0.85682,              0.7154,             0.77949,             0.45521,            0.034888,           0.0059855,             0.00227,          0.00096087,          0.00096087,          0.00096087
